Incident,Date,Type_of_weapons_all ,Semiauto_handguns,Rifles,Revolvers,Shotguns
Hialeah apartment shooting,7/26/2013,One semiautomatic handgun,1,0,0,0
Santa Monica rampage,06/07/13,"One rifle (assault), one handgun",0,1,1,0
Pinewood Village Apartment shooting,4/21/2013,"One semiautomatic handgun, one shotgun",1,0,0,1
Mohawk Valley shootings,3/13/2013,One shotgun,0,0,0,1
Newtown school shooting,12/14/2012,"Two semiautomatic handguns, one rifle (assault), one shotgun (assault)",2,1,0,1
Accent Signage Systems shooting,9/27/2012,One semiautomatic handgun,1,0,0,0
Sikh temple shooting,08/05/12,One semiautomatic handgun,1,0,0,0
Aurora theater shooting,7/20/2012,"Two semiautomatic handguns, one rifle (assault), one shotgun",2,1,0,1
Seattle cafe shooting,5/20/2012,Two semiautomatic handguns,2,0,0,0
Oikos University killings,04/02/12,One semiautomatic handgun,1,0,0,0
Su Jung Health Sauna shooting,2/22/2012,One semiautomatic handgun,1,0,0,0
Seal Beach shooting,10/14/2011,"Two semiautomatic handguns, one revolver",2,0,1,0
IHOP shooting,09/06/11,"Two rifles (both assault), one revolver",0,2,1,0
Tucson shooting,01/08/11,One semiautomatic handgun,1,0,0,0
Hartford Beer Distributor shooting,08/03/10,Two semiautomatic handguns,2,0,0,0
Coffee shop police killings,11/29/2009,One semiautomatic handgun,1,0,1,0
Fort Hood massacre,11/05/09,One semiautomatic handgun,1,0,0,0
Binghamton shootings,04/03/09,Two semiautomatic handguns,2,0,0,0
Carthage nursing home shooting,3/29/2009,"One revolver, one shotgun",0,0,1,1
Atlantis Plastics shooting,6/25/2008,One semiautomatic handgun,1,0,0,0
Northern Illinois University shooting,2/14/2008,"Three semiautomatic handguns, one shotgun",3,0,0,1
Kirkwood City Council shooting,02/07/08,"One semiautomatic handgun, one revolver",1,0,1,0
Westroads Mall shooting,12/05/07,One rifle (assault),0,1,0,0
Crandon shooting,10/07/07,One rifle (assault),0,1,0,0
Virginia Tech massacre,4/16/2007,Two semiautomatic handguns,2,0,0,0
Trolley Square shooting,02/12/07,"One revolver, one shotgun",0,0,1,1
Amish school shooting,10/02/06,"One semiautomatic handgun, one rifle, one shotgun",1,1,0,1
Capitol Hill massacre,3/25/2006,"Two semiautomatic handguns, one rifle (assault), one shotgun",2,1,0,1
Goleta postal shootings,1/30/2006,One semiautomatic handgun,1,0,0,0
Red Lake massacre,3/21/2005,"Two semiautomatic handguns, one shotgun",2,0,0,1
Living Church of God shooting,03/12/05,One semiautomatic handgun,1,0,0,0
Damageplan show shooting,12/08/04,One semiautomatic handgun,1,0,0,0
Lockheed Martin shooting,07/08/03,"One semiautomatic handgun, two rifles, one derringer, one shotgun",1,2,1,1
Navistar shooting,02/05/01,"Two rifles, one revolver, one shotgun",0,2,1,1
Wakefield massacre,12/26/2000,"One semiautomatic handgun, one rifle (assault), one shotgun",1,1,0,1
Hotel shooting,12/30/1999,"One semiautomatic handgun, one revolver",1,0,1,0
Xerox killings,11/02/99,One semiautomatic handgun,1,0,0,0
Wedgwood Baptist Church shooting,9/15/1999,Two semiautomatic handguns,2,0,0,0
Atlanta day trading spree killings,7/29/1999,"Three semiautomatic handguns, one revolver",3,0,1,0
Columbine High School massacre,4/20/1999,"One semiautomatic handgun (assault), one rifle (assault), two shotguns",1,1,0,2
Thurston High School shooting,5/21/1998,"Two semiautomatic handguns, one rifle",2,1,0,0
Westside Middle School killings,3/24/1998,"Two semiautomatic handguns, two rifles, three revolvers, two derringers",2,2,5,0
Connecticut Lottery shooting,03/06/98,One semiautomatic handgun,1,0,0,0
Caltrans maintenance yard shooting,12/18/1997,One rifle (assault),0,1,0,0
R.E. Phelon Company shooting,9/15/1997,One semiautomatic handgun,1,0,0,0
Fort Lauderdale revenge shooting,02/09/96,"One semiautomatic handgun, one revolver",1,0,1,0
Walter Rossler Company massacre,04/03/95,"One semiautomatic handgun, one revolver",1,0,1,0
Air Force base shooting,6/20/1994,One rifle (assault),0,1,0,0
Chuck E. Cheese's killings,12/14/1993,One semiautomatic handgun,1,0,0,0
Long Island Rail Road massacre,12/07/93,One semiautomatic handgun,1,0,0,0
Luigi's shooting,08/06/93,"One rifle, two shotguns",0,1,0,2
101 California Street shootings,07/01/93,Three semiautomatic handguns (two assault),3,0,0,0
Watkins Glen killings,10/15/1992,One semiautomatic handgun,1,0,0,0
Lindhurst High School shooting,05/01/92,"One rifle, one shotgun",0,1,0,1
Royal Oak postal shootings,11/14/1991,One rifle,0,1,0,0
University of Iowa shooting,11/01/91,One revolver,0,0,1,0
Luby's massacre,10/16/1991,Two semiautomatic handguns,2,0,0,0
GMAC massacre,6/18/1990,"One rifle, one revolver",0,1,1,0
Standard Gravure shooting,9/14/1989,"Three semiautomatic handguns (two assault), one rifle (assault), one revolver",3,1,1,0
Stockton schoolyard shooting,1/17/1989,"One semiautomatic handgun, one rifle (assault)",1,1,0,0
ESL shooting,2/16/1988,"Two semiautomatic handguns, one rifle, two revolvers, two shotguns",2,1,2,2
Shopping centers spree killings,4/23/1987,"One rifle, one revolver, one shotgun",0,1,1,1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
 ,,,,,,